,DQN with PER*
602,2.001889585690506
603,40.20885657387062
604,5.978885825677031
605,2.022593208643202
606,21.816955699995507
607,2.024573941415886
608,33.178183772859825
609,2.024573941415886
610,5.110489881956907
611,3.0242694536478165
612,13.998422946956454
613,5.956665721900555
614,10.97837683815895
615,16.750493408910888
616,3.7579072747492193
617,14.220675412852373
618,20.016595355325165
619,39.55286276371799
620,2.868556252357173
621,2.024573941415886
622,40.30543943309764
623,39.282898537652606
624,40.03912168540183
625,38.703495771071104
626,36.399270793990446
627,38.10498178323721
628,14.927465153791719
629,5.060179317997083
630,3.595505782047389
631,29.776101946439063
632,11.001529051874433
633,21.52954887154904
634,2.7774732900097083
635,20.77390833992179
636,8.667709440422279
637,3.7741739002666193
638,39.97171805509185
639,39.478998778761216
640,4.417676385619079
641,38.42021215758859
642,23.883614932781455
643,12.110186577853959
644,6.509883601204033
645,32.77383219588024
646,15.840377533585158
647,14.662939501963002
648,29.67044802906059
649,3.0242694536478165
650,38.81739695618826
651,15.668116852274498
652,14.35377184193591
653,42.455737417468434
654,3.751951678044397
655,2.024573941415886
656,2.8912406080825526
657,21.10867330701784
658,2.8912406080825526
659,38.45850762799029
660,26.04651464007358
661,3.0242694536478165
662,2.024573941415886
663,18.816597692042123
664,11.816890147208705
665,32.817705794114254
666,22.511631969586624
667,2.024573941415886
668,3.7963961224888414
669,3.0242694536478165
670,39.058828831772715
671,16.22280925887424
672,39.97317905207621
673,3.0242694536478165
674,37.12907893724617
675,5.17102708573075
676,12.60368775073921
677,18.024179530460962
678,33.041760226944554
679,18.68979659451455
680,41.33143921361739
681,20.932803738846353
682,2.8912406080825526
683,21.33700669419876
684,29.509301180529963
685,3.0242694536478165
686,39.436241593183865
687,10.151728701756925
688,14.819654053574213
689,37.97372136237288
690,12.557084495372736
691,39.33065905052518
692,38.72879751490344
693,29.643783521702375
694,41.84566239088616
695,11.111695858417832
696,3.0242694536478165
697,23.597208170814362
698,3.579708603071442
699,39.08127218674586
700,23.773158974144874
701,23.284511859415822
702,34.6824173322107
703,36.749246633117224
704,4.929237551963151
705,3.7741739002666193
706,39.44202748260367
707,39.3546069225855
708,2.868556252357173
709,15.822931137760298
710,11.915425063632334
711,4.487288430975179
712,41.03998635687265
713,32.28454122537522
714,7.957084497576798
715,19.153548557236377
716,2.024573941415886
717,3.573240802062409
718,39.171356061436086
719,38.86596069551827
720,7.867709217741852
721,5.130267801031441
722,26.068736796667807
723,38.90504402758322
724,12.510292729801144
725,38.90992834322677
726,30.126945833278274
727,31.81876474433588
728,42.086640178214964
729,12.534084816839737
730,3.0242694536478165
731,40.64069236219819
732,3.0242694536478165
733,20.978857947954122
734,2.024573941415886
735,33.401649056113655
736,42.063592989468184
737,2.8912406080825526
738,29.08048281897004
739,2.024573941415886
740,20.063789165680884
741,40.88450050910986
742,2.8463340301349507
743,19.380175675210527
744,7.9121680783466735
745,32.215963974924456
746,21.579406837378716
747,41.108500861032276
748,41.26124647332882
749,7.9561546044645794
750,15.510756744582483
751,42.5469798897828
752,10.287107486335588
753,8.512534377657518
754,22.50241670923713
755,10.755153314897271
756,6.5319849283588205
757,5.2417254168210645
758,40.9067291461837
759,2.001889585690506
760,15.729822877392348
761,24.732776133329338
762,3.04105174009812
763,3.0242694536478165
764,40.261709948228265
765,4.9536594383827
766,39.21565266044061
767,19.817150404206377
768,13.176781729670834
769,26.37977903391899
770,11.751435429353641
771,35.23804462091283
772,38.81436938253572
773,15.55786109654129
774,20.485741441504214
775,12.595738398381163
776,10.398204498602352
777,14.819391675466665
778,27.727680883045245
779,6.093552903639529
780,14.89274397779193
781,19.667741912779746
782,9.245488101681259
783,8.669720934683944
784,11.642987894115814
785,15.712945909532387
786,36.152648245521725
787,15.647294397671347
788,7.9343903157160405
789,25.395991338719334
790,34.750696969759986
791,7.979306831527563
792,2.024573941415886
793,5.1963525038132135
794,3.9554544459777485
795,6.018391134282102
796,15.908385594270916
797,39.59605318970944
798,3.734021375655221
